Row Labels,Max of Federal Loan 3-Year Default Rate,Max of 2012 4-Year Grad Rate,Max of % Pell Recipients Among Freshmen,Max of Estimated Median SAT / ACT,Max of Average Student Loan (all sources),Max of Average Net Price After Grants,"Max of % Degrees Awarded in Science, Technology, Engineering, and Math",Max of % Admitted,Max of Average High School GPA Among College Freshmen
Cairn University,0.042,0.252,0.488,1055,6005,16670,0,0.724,3.3
Pittsburg State University,0.102,0.255,0.413,1010,5626,10602,0.21,0.768,3.3
Alderson Broaddus College,0.121,0.257,0.518,1010,7355,14512,0.242,0.697,3.3
Winona State University,0.044,0.262,0.252,1070,8996,16414,0.124,0.689,3.3
Blue Mountain College,0.184,0.27,0.483,990,2974,9848,0.069,0.517,3.3
Southern Nazarene University,0.084,0.278,0.472,0,7411,17259,0.078,1,3.3
University of the Cumberlands,0.113,0.284,0.554,1010,5184,16055,0.162,0.7,3.3
William Peace University,0.055,0.305,0.542,935,6714,21711,0.081,0.527,3.3
Mansfield University of Pennsylvania,0.089,0.307,0.486,970,7327,14824,0.103,0.768,3.3
Saint Leo University,0.115,0.321,0.507,950,6427,17321,0.07,0.929,3.3
Arizona Christian University,0.192,0.321,0.446,1020,5595,20902,0,0.567,3.3
Belhaven University,0.07,0.323,0.439,1030,7291,19770,0.013,0.48,3.3
Judson University,0.046,0.336,0.331,1090,8667,22417,0.033,0.641,3.3
University of Sioux Falls,0.068,0.342,0.309,1090,8335,19062,0.041,0.728,3.3
SUNY College of Technology at Delhi,0.144,0.371,0.555,915,6086,13222,0.008,0.567,3.3
University of Saint Joseph,0.047,0.376,0.433,995,7304,23293,0.09,0.784,3.3
The University of Findlay,0.042,0.403,0.315,1105,9932,21542,0.128,0.689,3.3
Hampton University,0.133,0.407,0.407,1060,10874,21049,0.12,0.371,3.3
Carroll University,0.041,0.421,0.273,1070,7245,21361,0.121,0.811,3.3
College of Mount St. Joseph,0.11,0.424,0.308,1050,8709,18067,0.05,0.63,3.3
Bloomsburg University of Pennsylvania,0.054,0.427,0.294,1005,7037,15793,0.106,0.716,3.3
Manchester University,0.104,0.437,0.407,1000,7744,18116,0.077,0.643,3.3
University at Buffalo,0.05,0.441,0.332,1155,8046,13109,0.262,0.514,3.3
SUNY College of Technology at Alfred,0.114,0.442,0.559,950,6603,14198,0.502,0.49,3.3
Malone University,0.051,0.466,0.51,1070,6915,18355,0.044,0.751,3.3
The University of Tampa,0.069,0.467,0.247,1060,6912,25034,0.101,0.529,3.3
Northland College,0.071,0.481,0.432,1085,6248,16503,0.351,0.728,3.3
Bluffton University,0.07,0.494,0.496,1010,8107,20893,0.067,0.64,3.3
SUNY at Albany,0.071,0.532,0.355,1115,6385,13692,0.167,0.471,3.3
Eckerd College,0.088,0.566,0.207,1120,8796,29359,0.171,0.685,3.3
Sacred Heart University,0.041,0.576,0.185,0,8551,37202,0.093,0.641,3.3
Mercyhurst University,0.116,0.597,0.297,1060,7212,21034,0.082,0.762,3.3
Ramapo College of New Jersey,0.063,0.602,0.22,1117,8003,14267,0.122,0.503,3.3
University of North Carolina School of the Arts,0.079,0.604,0.332,1110,5922,11143,0,0.411,3.3
King's College,0.066,0.617,0.35,0,7781,22486,0.128,0.722,3.3
Niagara University,0.088,0.62,0.37,1055,7705,17718,0.068,0.758,3.3
Manhattan College,0.038,0.656,0.27,0,8303,25646,0.304,1,3.3
Rhode Island School of Design,0.042,0.702,0.126,1245,7911,33845,0,0.337,3.3
Marist College,0.02,0.71,0.154,0,7594,33426,0.114,0.337,3.3
Bryant University,0.034,0.769,0.171,1128,10015,33111,0.065,0.767,3.3
University of Memphis,0.121,0.123,0.541,1030,5177,11237,0.091,0.663,3.29
East Tennessee State University,0.129,0.163,0.489,1010,5351,14688,0.121,0.851,3.29
Embry-Riddle Aeronautical University-Daytona Beach,0.073,0.33,0.303,1100,9874,34731,0.384,0.785,3.29
Huntingdon College,0.14,0.336,0.441,990,6538,18880,0.137,0.62,3.29
Thomas More College,0.087,0.349,0.373,1050,6990,20637,0.097,0.863,3.29
Benedictine University,0.068,0.367,0.371,1030,6225,18383,0.108,0.761,3.29
Hiram College,0.091,0.584,0.505,1030,8582,21976,0.152,0.63,3.29
Simmons College,0.026,0.585,0.356,1125,9407,30697,0.084,0.466,3.29
Assumption College,0.034,0.717,0.229,0,8477,26169,0.159,0.751,3.29
St. Mary's College of Maryland,0.05,0.722,0.188,1224,5458,19153,0.239,0.653,3.29
San Jose State University,0.06,0.074,0.42,1030,5205,14393,0.14,0.566,3.28
Laurel University,0.166,0.091,0.7,0,8750,15646,0,0.395,3.28
Northwestern Oklahoma State University,0.207,0.119,0.428,930,4170,6971,0.093,1,3.28
University of Louisiana-Monroe,0.146,0.131,0.526,1010,4876,8271,0.092,0.919,3.28
Methodist University,0.125,0.172,0.494,980,7257,30092,0.138,0.62,3.28
West Liberty University,0.145,0.177,0.486,970,8690,9796,0.045,0.747,3.28
Montana State University,0.057,0.196,0.299,1125,6321,13786,0.276,0.614,3.28
Ottawa University-Ottawa,0.095,0.211,0.419,990,6891,15701,0.128,0.946,3.28
Tennessee Wesleyan College,0.103,0.263,0.452,1010,6521,11453,0.063,0.824,3.28
Mississippi State University,0.096,0.303,0.358,1085,6100,14708,0.254,0.628,3.28
Northwood University-Texas,0.124,0.37,0.543,910,6378,15504,0,0.446,3.28
Mount Marty College,0.094,0.449,0.458,1030,7252,18961,0.07,0.695,3.28
Stevenson University,0.07,0.49,0.392,980,10257,23576,0.167,0.581,3.28
Southern Polytechnic State University,0.099,0.073,0.393,1120,5600,10210,0.645,0.741,3.27
Wayne State University,0.125,0.101,0.527,1010,6083,11973,0.152,0.755,3.27
Texas A & M University-Kingsville,0.184,0.13,0.632,845,6007,8930,0.186,0.203,3.27
American Jewish University,0.046,0.231,0.333,1051,6643,32002,0.304,0.949,3.27
La Sierra University,0.073,0.241,0.53,930,6494,23594,0.269,0.465,3.27
Western Michigan University,0.08,0.241,0.378,1050,7352,15610,0.141,0.832,3.27
Greensboro College,0.129,0.269,0.525,930,7030,22188,0.054,0.513,3.27
Central Christian College of Kansas,0.104,0.274,0.528,0,7465,17272,0,1,3.27
University of Massachusetts-Lowell,0.079,0.294,0.329,1105,6352,13211,0.319,0.645,3.27
Edgewood College,0.047,0.345,0.401,1050,6912,20865,0.085,0.719,3.27
Mary Baldwin College,0.06,0.494,0.534,950,7337,18849,0.053,0.445,3.27
Rider University,0.076,0.567,0.261,1045,8812,30357,0.06,0.733,3.27
Rollins College,0.052,0.623,0.205,1188,6865,29393,0.11,0.538,3.27
Bryn Athyn College of the New Church,0.062,0.042,0.366,1040,5246,12577,0.125,0.444,3.26
Louisiana State University-Shreveport,0.122,0.091,0.457,1030,5053,7367,0.145,0.484,3.26
University of Central Oklahoma,0.148,0.099,0.373,1010,5857,11107,0.114,0.8,3.26
Indiana University-Purdue University-Indianapolis,0.085,0.134,0.426,995,6156,12442,0.162,0.693,3.26
Oakland University,0.069,0.153,0.389,1030,6249,13305,0.13,0.676,3.26
University of Colorado Colorado Springs,0.059,0.236,0.316,1070,5579,13266,0.189,0.671,3.26
Avila University,0.096,0.246,0.435,1050,6564,18895,0.022,0.529,3.26
Menlo College,0.141,0.261,0.416,965,6581,27459,0,0.379,3.26
University of Northwestern Ohio,0.165,0.264,0.546,0,6913,14516,0,1,3.26
Grace University,0.055,0.286,0.514,1050,6094,15961,0,0.57,3.26
Xavier University of Louisiana,0.114,0.295,0.696,1010,6631,16839,0.489,0.641,3.26
Midland University,0.051,0.381,0.445,1070,7252,18833,0.047,0.538,3.26
Quincy University,0.095,0.416,0.475,1010,6403,16519,0.113,0.907,3.26
Trinity International University-Illinois,0.071,0.454,0.401,1050,6988,20555,0.036,0.981,3.26
Saint Mary's University of Minnesota,0.036,0.485,0.316,1050,8928,21047,0.105,0.719,3.26
Marlboro College,0.06,0.545,0.29,0,8114,28147,0.086,0.873,3.26
Southeastern Oklahoma State University,0.2,0.114,0.579,950,3712,8665,0.226,0.775,3.25
Southern Oregon University,0.098,0.156,0.42,1010,5729,13301,0.103,0.595,3.25
The College of New Rochelle,0.185,0.162,0.891,985,5257,30897,0.014,0.716,3.25
California State University-Stanislaus,0.089,0.175,0.605,925,4883,7286,0.107,0.336,3.25
Eastern Washington University,0.076,0.198,0.404,965,5643,11499,0.128,0.819,3.25
Texas Woman's University,0.087,0.226,0.609,918,3209,11490,0.058,0.883,3.25
University of Missouri-Kansas City,0.097,0.237,0.424,1085,6236,20509,0.174,0.556,3.25
Minneapolis College of Art and Design,0.101,0.338,0.446,1105,9698,28345,0,0.635,3.25
Tabor College,0.06,0.392,0.47,1030,5891,21509,0.085,0.912,3.25
Saint Joseph Seminary College,0,0.4,0,0,0,26921,0,1,3.25
Northwood University-Michigan,0.124,0.403,0.345,1030,6468,16313,0.011,0.681,3.25
Saint Martin's University,0.095,0.409,0.382,1000,6814,20579,0.272,0.751,3.25
Wesleyan College,0.132,0.463,0.48,1065,6488,13084,0.128,0.556,3.25
Western New England University,0.05,0.51,0.267,1065,9062,28055,0.2,0.799,3.25
Shimer College,0.214,0,0.267,0,17326,27781,0,0.463,3.24
Utah Valley University,0.096,0.087,0.483,0,5202,8857,0.1,1,3.24
University of Wisconsin-Oshkosh,0.051,0.158,0.293,1030,6181,11554,0.085,0.838,3.24
Eastern Oregon University,0.112,0.199,0.506,970,6683,13286,0.05,0.74,3.24
Farmingdale State College,0.094,0.21,0.301,1010,5192,7852,0.261,0.413,3.24
University of Nebraska at Kearney,0.061,0.216,0.371,1050,5588,12605,0.06,0.863,3.24
Emporia State University,0.075,0.228,0.452,1010,5557,11522,0.145,0.823,3.24
Old Dominion University,0.065,0.246,0.317,1020,6335,11775,0.169,0.753,3.24
Wayne State College,0.087,0.274,0.448,0,5054,9814,0.131,1,3.24
University of Pittsburgh-Bradford,0.044,0.293,0.468,990,7183,15350,0.166,0.828,3.24
University of Saint Francis-Fort Wayne,0.069,0.321,0.441,965,5814,18328,0.013,0.538,3.24
Oklahoma Wesleyan University,0.135,0.356,0.534,1010,5720,18941,0.015,0.579,3.24
SUNY College at Plattsburgh,0.06,0.374,0.354,1030,5819,13087,0.098,0.481,3.24
Morehouse College,0.275,0.39,0.513,1050,7455,25632,0.175,0.624,3.24
Greenville College,0.059,0.445,0.467,1030,7258,18661,0.079,0.742,3.24
Carthage College,0.058,0.516,0.261,1125,7802,26991,0.175,0.695,3.24
Saint Gregorys University,0.245,0.062,0.558,0,8228,15838,0.031,0.571,3.23
Purdue University-Calumet Campus,0.124,0.066,0.426,970,5528,10535,0.219,0.465,3.23
Northeastern State University,0.202,0.1,0.578,970,5020,7211,0.123,0.542,3.23
California State University-Sacramento,0.086,0.102,0.538,955,5192,8859,0.1,0.709,3.23
Friends University,0.094,0.103,0.461,1030,6056,18665,0.131,0.64,3.23
University of Great Falls,0.152,0.124,0.466,0,8084,22700,0.091,1,3.23
University of Louisiana at Lafayette,0.099,0.129,0.4,1030,4864,5891,0.15,0.659,3.23
Delta State University,0.146,0.182,0.523,970,4560,13151,0.06,0.581,3.23
Shepherd University,0.107,0.196,0.335,1010,9273,11079,0.103,0.877,3.23
The University of West Florida,0.106,0.243,0.399,1090,5383,10050,0.134,0.66,3.23
University of Central Missouri,0.092,0.276,0.408,1010,6286,13517,0.151,0.799,3.23
Ursuline College,0.088,0.282,0.539,1010,7095,14747,0.027,0.545,3.23
University of St Francis,0.044,0.343,0.394,1070,5970,17322,0.064,0.445,3.23
St. Thomas Aquinas College,0.081,0.35,0.338,939,6993,21848,0.071,0.809,3.23
Moore College of Art and Design,0.125,0.479,0.37,985,8509,28985,0,0.667,3.23
High Point University,0.141,0.505,0.139,1095,8270,31354,0.089,0.619,3.23
Gwynedd Mercy College,0.072,0.568,0.375,975,9808,22783,0.041,0.483,3.23
Saint Anselm College,0.025,0.722,0.186,0,9668,28560,0.101,0.714,3.23
Southwestern Christian University,0.212,0,0.341,950,3187,19587,0,0.697,3.22
California State University-San Bernardino,0.104,0.113,0.66,910,4849,7113,0.072,0.191,3.22
University of Nevada-Las Vegas,0.085,0.146,0.425,1010,5827,10038,0.097,0.818,3.22
Lake Superior State University,0.112,0.156,0.462,1030,6025,10471,0.179,0.906,3.22
California State University-Chico,0.071,0.173,0.371,1035,5144,12287,0.179,0.622,3.22
Nicholls State University,0.109,0.178,0.379,1030,4908,7586,0.081,0.842,3.22
The University of Montana,0.087,0.231,0.398,1090,6185,13345,0.083,0.94,3.22
California State University-Channel Islands,0.098,0.231,0.414,975,6064,11301,0.142,0.575,3.22
Georgian Court University,0.05,0.243,0.593,0,8294,17079,0.082,0.655,3.22
University of Northern Colorado,0.076,0.265,0.354,1030,6073,12982,0.068,0.728,3.22
Kent State University at Kent,0.129,0.271,0.369,1050,7074,18663,0.112,0.886,3.22
Warner University,0.162,0.276,0.687,970,7711,14758,0.059,0.489,3.22
Point Park University,0.099,0.387,0.371,1010,5961,22927,0.096,0.746,3.22
Alaska Pacific University,0.07,0.446,0.188,1060,2750,31397,0.205,0.326,3.22
Lyme Academy College of Fine Arts,0.041,0.947,0.231,1010,12442,32398,0,0.969,3.22
Eastern New Mexico University-Main Campus,0.211,0.115,0.549,950,4312,9474,0.057,0.629,3.21
Kennesaw State University,0.102,0.144,0.375,1080,5454,14742,0.109,0.639,3.21
Concord University,0.19,0.172,0.53,1025,5701,11627,0.134,0.516,3.21
Western Oregon University,0.07,0.201,0.477,955,6398,15104,0.1,0.889,3.21
Kuyper College,0.032,0.286,0.457,1050,6198,17184,0,0.549,3.21
Marymount Manhattan College,0.108,0.344,0.286,1050,7260,33023,0.015,0.789,3.21
Saint Peter's University,0.098,0.352,0.561,942,6582,15594,0.149,0.67,3.21
Blackburn College,0.128,0.356,0.474,970,5131,13444,0.255,0.685,3.21
Chestnut Hill College,0.113,0.364,0.31,955,8041,22653,0.056,0.882,3.21
West Chester University of Pennsylvania,0.047,0.426,0.234,1075,7462,15777,0.07,0.465,3.21
Lynchburg College,0.045,0.469,0.343,1000,7061,22810,0.099,0.683,3.21
Marywood University,0.058,0.514,0.344,1040,8881,21503,0.059,0.7,3.21
DeSales University,0.047,0.543,0.236,1075,9036,27219,0.106,0.726,3.21
Culinary Institute of America,0.094,0,0.305,0,9854,36246,0,0.813,3.2
Saginaw Valley State University,0.092,0.086,0.447,990,7568,12329,0.14,0.893,3.2
University of Alaska Fairbanks,0.123,0.119,0.318,0,5794,9834,0.307,1,3.2
Georgia Southwestern State University,0.082,0.13,0.483,975,5757,11799,0.069,0.684,3.2
Montana State University Billings,0.117,0.14,0.472,1010,5261,10628,0.06,0.995,3.2
Frostburg State University,0.11,0.173,0.352,980,8418,12920,0.143,0.552,3.2
University of the Southwest,0.134,0.174,0.592,0,6364,14450,0.143,1,3.2
Henderson State University,0.172,0.178,0.602,990,5106,9173,0.091,0.589,3.2
University of Wisconsin-Stout,0.049,0.182,0.304,1030,6772,12925,0.159,0.886,3.2
University of Washington-Tacoma Campus,0.039,0.212,0.454,1020,4840,9399,0.081,0.77,3.2
Tuskegee University,0.17,0.219,0.652,930,10519,24832,0.282,0.641,3.2
Edinboro University of Pennsylvania,0.091,0.225,0.478,940,6883,14007,0.056,0.753,3.2
Georgia Southern University,0.101,0.226,0.373,1100,4986,15866,0.194,0.56,3.2
Lindenwood University,0.049,0.228,0.331,1030,5940,21503,0.065,0.534,3.2
Mount Aloysius College,0.1,0.249,0.533,895,7332,19138,0.162,0.723,3.2
Ferris State University,0.101,0.255,0.44,1010,7138,13235,0.21,0.774,3.2
Regent University,0.061,0.273,0.346,1075,6677,19648,0.011,0.819,3.2
Woodbury University,0.085,0.278,0.513,945,5578,23374,0.004,0.735,3.2
Kansas Wesleyan University,0.105,0.281,0.436,1010,7218,21036,0.094,0.587,3.2
University of Wisconsin-Whitewater,0.069,0.299,0.296,1050,6352,10518,0.103,0.816,3.2
Santa Fe University of Art and Design,0.088,0.299,0.509,975,7363,25387,0,0.33,3.2
Vaughn College of Aeronautics and Technology,0.208,0.304,0.785,997,5661,19357,0.28,0.832,3.2
Wilmington College,0.068,0.332,0.447,970,7853,19765,0.077,0.903,3.2
Graceland University-Lamoni,0.109,0.336,0.487,1010,10977,14268,0.042,0.504,3.2
Briar Cliff University,0.087,0.346,0.426,0,7110,17612,0.116,1,3.2
California University of Pennsylvania,0.072,0.356,0.388,960,7631,16844,0.164,0.6,3.2
Bowling Green State University-Main Campus,0.109,0.36,0.406,1010,6820,16618,0.096,0.755,3.2
Trinity Lutheran College,0.027,0.367,0.4,0,6080,15269,0,0.727,3.2
Pfeiffer University,0.06,0.367,0.397,910,6608,17150,0.115,0.592,3.2
St. John's University-New York,0.11,0.37,0.464,1090,7177,27874,0.112,0.455,3.2
Alvernia University,0.093,0.38,0.338,978,8446,27053,0.041,0.752,3.2
Pace University-New York,0.064,0.391,0.471,1030,7273,22681,0.091,0.787,3.2
Heidelberg University,0.087,0.393,0.443,0,7132,21063,0.14,1,3.2
Cazenovia College,0.104,0.412,0.48,0,8659,18054,0.027,0.705,3.2
Pennsylvania State University-Penn State Erie-Behrend College,0.08,0.414,0.333,1045,7858,20516,0.418,0.836,3.2
Howard University,0.107,0.416,0.461,1050,7205,24202,0.157,0.545,3.2
Monmouth College,0.067,0.439,0.473,1030,6606,17996,0.11,0.645,3.2
Hastings College,0.044,0.466,0.342,1070,6382,20091,0.115,0.705,3.2
Saint Mary-of-the-Woods College,0.078,0.475,0.565,945,10125,19989,0.052,0.509,3.2
Otis College of Art and Design,0.094,0.475,0.465,1030,6578,32762,0,0.511,3.2
Neumont University,0.057,0.479,0.601,0,8141,30287,1,0,3.2
Hartwick College,0.071,0.506,0.382,1120,7602,24408,0.185,0.771,3.2
Roger Williams University,0.052,0.513,0.137,1098,10091,34227,0.155,0.777,3.2
University of New England,0.041,0.522,0.266,1060,10420,29899,0.307,0.816,3.2
Kansas City Art Institute,0.176,0.523,0.388,1070,8925,24690,0,0.67,3.2
Salve Regina University,0.056,0.687,0.25,1110,8885,30018,0.062,0.695,3.2
Webber International University,0.176,0.028,0.55,910,7238,20396,0.031,0.552,3.19
California State University-Monterey Bay,0.086,0.089,0.492,960,5212,8727,0.081,0.523,3.19
Virginia Intermont College,0.126,0.099,0.45,950,7961,24154,0.045,0.951,3.19
Kentucky Mountain Bible College,0.142,0.111,0.643,970,4075,7191,0,0.536,3.19
Dallas Christian College,0.091,0.167,0.444,948,11028,18577,0,0.636,3.19
Northwestern State University of Louisiana,0.154,0.181,0.463,1010,5392,8547,0.119,0.824,3.19
Southern Virginia University,0.056,0.189,0.431,1070,10284,18709,0.087,0.988,3.19
Jefferson College of Health Sciences,0.068,0.207,0.571,912,7427,21153,0.139,0.346,3.19
Lincoln Christian University,0.078,0.233,0.54,1010,7973,14689,0,0.449,3.19
Campbellsville University,0.162,0.251,0.6,970,5974,14409,0.114,0.633,3.19
Clarion University of Pennsylvania,0.092,0.268,0.454,945,7010,13752,0.12,0.793,3.19
Rockford University,0.095,0.289,0.438,970,5537,22056,0.11,0.443,3.19
Montreat College,0.1,0.373,0.644,975,7051,18999,0.062,0.506,3.19
Virginia Wesleyan College,0.136,0.42,0.408,975,8078,22730,0.062,0.86,3.19
Midway College,0.129,0.429,0.615,1030,8412,18318,0.03,0.516,3.19
Bay Path College,0.099,0.447,0.507,950,8850,20242,0.036,0.58,3.19
Guilford College,0.101,0.474,0.322,1080,7132,24692,0.141,0.643,3.19
Saint Ambrose University,0.071,0.486,0.231,1050,8156,22596,0.092,0.839,3.19
University of Mount Union,0.064,0.539,0.38,1050,8431,22562,0.129,0.729,3.19
West Virginia University Institute of Technology,0.098,0.108,0.513,970,5664,7489,0.503,0.521,3.18
University of New Mexico-Main Campus,0.086,0.12,0.399,1030,5278,11001,0.17,0.665,3.18
Southeastern Louisiana University,0.099,0.121,0.398,1030,4703,9055,0.094,0.431,3.18
Northern Kentucky University,0.115,0.125,0.397,1010,5623,8404,0.116,0.663,3.18
Austin Peay State University,0.148,0.157,0.562,990,5292,10985,0.119,0.876,3.18
Dickinson State University,0.058,0.166,0.351,1005,5311,9704,0.1,0.664,3.18
Limestone College,0.154,0.196,0.512,915,10909,22201,0.104,0.506,3.18
Davis College,0.194,0.259,0.794,925,6409,14015,0,0.402,3.18
Fairleigh Dickinson University-Metropolitan Campus,0.069,0.275,0.606,980,7707,18123,0.059,0.582,3.18
Holy Names University,0.094,0.288,0.46,915,6260,22020,0.061,0.64,3.18
Johnson & Wales University-Denver,0.146,0.426,0.418,0,7452,25980,0,0.696,3.18
St. Bonaventure University,0.078,0.512,0.305,1062,8197,22067,0.099,0.804,3.18
Armstrong Atlantic State University,0.117,0.087,0.449,1005,5513,13340,0.126,0.565,3.17
Faulkner University,0.145,0.104,0.442,990,4258,20077,0.028,0.58,3.17
California State University-San Marcos,0.043,0.127,0.417,975,5244,9775,0.064,0.408,3.17
Louisiana College,0.121,0.213,0.467,970,6462,13076,0.127,0.739,3.17
Sonoma State University,0.068,0.271,0.269,1020,5570,14143,0.09,0.809,3.17
University of Minnesota-Crookston,0.092,0.313,0.356,1010,7771,12143,0.032,0.738,3.17
Idaho State University,0.137,0.106,0.544,0,6033,12328,0.169,1,3.16
The University of Texas at El Paso,0.11,0.11,0.704,925,4021,5164,0.2,0.992,3.16
Fairmont State University,0.182,0.136,0.488,970,5399,9594,0.177,0.568,3.16
Weber State University,0.087,0.162,0.377,0,5165,9068,0.123,1,3.16
Lindsey Wilson College,0.17,0.182,0.667,0,5216,15198,0.048,1,3.16
Lees-McRae College,0.124,0.219,0.464,953,9799,19670,0.11,0.639,3.16
Welch College,0.152,0.247,0.519,0,8095,13736,0,1,3.16
College for Creative Studies,0.12,0.292,0.31,1050,8994,32565,0,0.418,3.16
University of Massachusetts-Dartmouth,0.096,0.317,0.405,1045,6609,14999,0.182,0.711,3.16
The Sage Colleges,0.087,0.413,0.634,0,7196,17876,0.109,0.625,3.16
SUNY at Purchase College,0.076,0.476,0.32,1090,6157,16025,0.047,0.336,3.16
University of Houston-Downtown,0.151,0.014,0.698,0,5029,9632,0.071,1,3.15
University of Southern Mississippi,0.136,0.015,0.494,1030,6370,11911,0.135,0.632,3.15
Cleveland State University,0.111,0.1,0.52,990,6174,16372,0.156,0.467,3.15
San Francisco State University,0.076,0.134,0.44,1010,5395,11246,0.086,0.615,3.15
California State University-Northridge,0.087,0.136,0.587,930,4782,10458,0.091,0.735,3.15
Southern Arkansas University Main Campus,0.2,0.151,0.623,1010,4851,7772,0.121,0.669,3.15
Central Baptist College,0.147,0.182,0.497,990,5543,10832,0.135,0.744,3.15
Arkansas Tech University,0.184,0.182,0.561,1030,5039,7867,0.129,0.904,3.15
Dixie State University,0.149,0.222,0.516,0,5227,15007,0.114,1,3.15
Buffalo State SUNY,0.108,0.225,0.516,975,6139,10037,0.081,0.443,3.15
Western Kentucky University,0.14,0.266,0.452,990,5828,12128,0.156,0.925,3.15
Crossroads College,0.043,0.308,0.563,820,4713,22533,0,0.406,3.15
Oakland City University,0.118,0.366,0.544,953,2568,18883,0.346,0.689,3.15
McPherson College,0.161,0.379,0.485,990,6811,20349,0.273,0.572,3.15
Shippensburg University of Pennsylvania,0.059,0.402,0.314,975,7374,14533,0.114,0.8,3.15
Lexington College,0.071,0.412,0.6,910,7022,21412,0,0.294,3.15
Cornish College of the Arts,0.131,0.415,0.38,0,6906,34017,0,0.572,3.15
Ringling College of Art and Design,0.143,0.543,0.346,0,8211,40354,0,0.733,3.15
Corcoran College of Art and Design,0.105,0.553,0.359,1010,8437,29051,0,0.272,3.15
Auburn University at Montgomery,0.137,0.01,0.494,970,5861,9690,0.144,0.789,3.14
Pontifical Catholic University of Puerto Rico,0.286,0.08,0.93,0,3229,5880,0.058,0.731,3.14
Clayton  State University,0.118,0.107,0.723,950,6965,11710,0.073,0.385,3.14
University of Pikeville,0.134,0.13,0.665,0,5673,15380,0.209,1,3.14
Northern Michigan University,0.103,0.177,0.425,1030,5989,11320,0.139,0.722,3.14
Memphis College of Art,0.172,0.222,0.681,1010,7778,20203,0,0.454,3.14
Bemidji State University,0.103,0.243,0.364,1010,7740,12287,0.15,0.905,3.14
Kentucky Wesleyan College,0.152,0.252,0.569,1010,4912,16621,0.216,0.522,3.14
CUNY Bernard M Baruch College,0.046,0.333,0.519,1210,4839,6285,0.039,0.228,3.14
Grand View University,0.09,0.399,0.393,990,7334,17841,0.123,0.931,3.14
Fairleigh Dickinson University-College at Florham,0.069,0.434,0.412,1010,10138,24316,0.092,0.697,3.14
Sterling College,0.142,0.524,0.507,1030,6294,23771,0.31,0.887,3.14
Humboldt State University,0.108,0.137,0.438,1030,5343,12809,0.174,0.827,3.13
North Carolina A & T State University,0.168,0.164,0.692,890,6203,7542,0.277,0.614,3.13
Fort Lewis College,0.129,0.196,0.325,1050,5119,14083,0.153,0.709,3.13
Black Hills State University,0.097,0.207,0.431,990,5934,14028,0.107,0.942,3.13
Averett University,0.114,0.281,0.476,940,11626,18420,0.028,0.542,3.13
Point University,0.116,0.301,0.547,925,3591,24619,0,0.472,3.13
University of Illinois at Chicago,0.043,0.31,0.549,1090,6052,11932,0.268,0.628,3.13
Mars Hill College,0.165,0.316,0.644,940,8585,19605,0.144,0.678,3.13
Framingham State University,0.079,0.339,0.313,1025,8205,16423,0.074,0.655,3.13
Immaculata University,0.062,0.399,0.371,925,8137,27825,0.037,0.779,3.13
Radford University,0.039,0.422,0.264,1015,6564,12159,0.103,0.802,3.13
Seton Hall University,0.038,0.545,0.345,1065,14243,26256,0.089,0.851,3.13
University of North Carolina at Pembroke,0.114,0.159,0.591,910,4546,8741,0.136,0.747,3.12
Pacific Northwest College of Art,0.14,0.167,0.413,0,6939,28557,0,0.523,3.12
Saint Cloud State University,0.07,0.205,0.368,1010,7495,12640,0.117,0.899,3.12
Concordia University-Saint Paul,0.055,0.256,0.548,0,7389,19363,0.041,1,3.12
Lake Erie College,0.133,0.366,0.41,1010,10304,20448,0.134,0.89,3.12
La Roche College,0.085,0.376,0.381,930,9761,18009,0.118,0.461,3.12
Saint Josephs College,0.104,0.398,0.464,945,7090,15546,0.124,0.601,3.12
Norwich University,0.052,0.455,0.258,1060,7567,25888,0.224,0.657,3.12
Saint Joseph's College-New York,0.067,0.518,0.313,1040,5788,12434,0.059,0.758,3.12
Escuela de Artes Plasticas de Puerto Rico,0,0,0.722,0,0,6053,0,0.723,3.11
California State University-Los Angeles,0.076,0.073,0.757,885,3851,3713,0.118,0.572,3.11
Rogers State University,0.214,0.083,0.538,970,4573,10933,0.18,0.542,3.11
University of Arkansas-Fort Smith,0.221,0.092,0.633,1010,4463,6624,0.102,0.559,3.11
Jacksonville State University,0.133,0.096,0.481,1010,6733,11940,0.096,0.836,3.11
Eastern Michigan University,0.122,0.121,0.502,970,6533,13240,0.086,0.663,3.11
Upper Iowa University,0.099,0.229,0.356,1010,9124,16837,0.032,0.601,3.11
Culver-Stockton College,0.132,0.365,0.579,990,6942,17136,0.071,0.657,3.11
Columbus College of Art and Design,0.123,0.438,0.367,1030,7905,26219,0,0.689,3.11
Southern California Institute of Architecture,0.12,0,0.375,1080,2000,39532,0,0.894,3.1
Dalton State College,0.2,0.045,0.696,0,3908,4562,0.152,1,3.1
University of Guam,0.123,0.076,0.629,0,2302,11310,0.083,1,3.1
Florida Agricultural and Mechanical University,0.189,0.097,0.685,945,6187,10683,0.119,0.483,3.1
University of Massachusetts-Boston,0.088,0.129,0.459,995,5470,10940,0.116,0.684,3.1
Tusculum College,0.126,0.159,0.661,1010,5779,17512,0.063,0.694,3.1
National American University-Rapid City,0.246,0.163,0.763,0,6495,19924,0.182,1,3.1
Concordia University-Ann Arbor,0.045,0.227,0.426,1010,6328,18757,0,0.558,3.1
