Row Labels,Max of Federal Loan 3-Year Default Rate,Max of 2012 4-Year Grad Rate,Max of % Pell Recipients Among Freshmen,Max of Estimated Median SAT / ACT,Max of Average Student Loan (all sources),Max of Average Net Price After Grants,"Max of % Degrees Awarded in Science, Technology, Engineering, and Math",Max of % Admitted,Max of Average High School GPA Among College Freshmen
Pepperdine University,0.031,0.734,0.241,1215,7931,25345,0.044,0.316,3.65
St. Olaf College,0.026,0.833,0.127,1320,6935,27323,0.359,0.53,3.65
Azusa Pacific University,0.039,0.445,0.27,1095,6369,28458,0.04,0.506,3.64
Nebraska Wesleyan University,0.047,0.513,0.211,1165,6369,23155,0.159,0.82,3.64
University of Massachusetts Amherst,0.051,0.542,0.232,1185,7124,18156,0.209,0.656,3.64
Coe College,0.052,0.591,0.302,1185,7569,20441,0.189,0.643,3.64
University of Dallas,0.037,0.6,0.267,1205,7373,28445,0.151,0.875,3.64
Cedarville University,0.019,0.614,0.199,1205,6625,22492,0.18,0.754,3.64
Duquesne University,0.035,0.634,0.215,1125,8384,24942,0.131,0.701,3.64
Southern Methodist University,0.068,0.684,0.149,1275,7747,30574,0.175,0.546,3.64
Wabash College,0.108,0.694,0.3,1154,7433,23464,0.251,0.629,3.64
Carnegie Mellon University,0.013,0.727,0.149,1410,7537,33257,0.536,0.304,3.64
Gustavus Adolphus College,0.023,0.808,0.272,1245,8319,23054,0.233,0.641,3.64
Colgate University,0.04,0.848,0.114,1350,2348,19384,0.206,0.294,3.64
University of South Carolina-Upstate,0.083,0.213,0.487,965,6191,13302,0.059,0.587,3.63
University of Oklahoma Norman Campus,0.069,0.362,0.241,1185,7256,16280,0.206,0.819,3.63
University of Georgia,0.035,0.54,0.236,1225,5689,12674,0.118,0.593,3.63
Indiana University-Bloomington,0.064,0.549,0.198,1165,7127,10899,0.126,0.723,3.63
Arcadia University,0.07,0.587,0.351,1110,9686,26010,0.193,0.535,3.63
Valparaiso University,0.051,0.617,0.291,1185,7782,21534,0.223,0.743,3.63
